Header - skip 2 lines,,,,,,,,MartinsD,,,,,,,
LV_frame_name,EN_frame_name,,Frame_type,LV_role_name,EN_role_name,Class_restriction,Type,Format,Core,All,,Relation,Related_frame,Excluded_roles,Comment
Dzīvesvieta,Residence,mFE,Peripheral,Laiks,Time,,,str v EID,,,,,,,
Dzīvesvieta,Residence,uLU,V,dzīvot,,,,,,,,,,,
Dzīvesvieta,Residence,uLU,V,atrasties,,,,,,,,,,,
Dzīvesvieta,Residence,uLU,N,rezidents,,,,,,,,,,,
Dzīvesvieta,Residence,uLU,N,rīdzinieks,,,,,,,,,,,
Izglītība,Education_teaching,aFR,,,,,,,3,6,,,,,
Izglītība,Education_teaching,mFE,Core,Students,Student,Person,OntologicalType,EID,,,,,,,
Izglītība,Education_teaching,mFE,Core,Iestāde,Institution,Organization,OntologicalType,EID,,,,,,,
Izglītība,Education_teaching,mFE,Core,Nozare,Subject,,,str v EID,,,,,,,
Izglītība,Education_teaching,mFE,Extra-Thematic,Grāds,Qualification,,,str v EID,,,,,,,
Izglītība,Education_teaching,mFE,Peripheral,Laiks,Time,Time,OntologicalType,yyyymmdd-yyyymmdd v EID,,,,,,,
Izglītība,Education_teaching,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,"piemēram, “studēja Anglijā”"
Izglītība,Education_teaching,uLU,N,grāds,,,,,,,,,,,
Izglītība,Education_teaching,uLU,N,studijas,,,,,,,,,,,
Izglītība,Education_teaching,uLU,V,studēt,,,,,,,,,,,
Izglītība,Education_teaching,uLU,V,pabeigt,,,,,,,,,,,
Izglītība,Education_teaching,uLU,V,mācīties,,,,,,,,,,,
Nodarbošanās,People_by_vocation,aFR,,,,,,,2,4,,,,,
Nodarbošanās,People_by_vocation,bFREL,,,,,,,,,,ReFraming_Mapping,Amats,,
Nodarbošanās,People_by_vocation,mFE,Core,Persona,Person,Person,OntologicalType,EID,,,,,,,
Nodarbošanās,People_by_vocation,mFE,Core,Nodarbošanās,Vocation,Vocation,OntologicalType,str v EID,,,,,,,uzņēmuma nozare; Framenet šī loma nav izdalīta - tas ir Vocation atslēgvārds
Nodarbošanās,People_by_vocation,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Nodarbošanās,People_by_vocation,mFE,Peripheral,Statuss,Descriptor,,,str v EID,,,,,,,"Labs, izbijis?"
Nodarbošanās,People_by_vocation,uLU,N,ekonomists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,jurists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,politiķis,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,basketbolists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,tenisists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,futbolists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,hokejists,,,,,,,,,,,
Nodarbošanās,People_by_vocation,uLU,N,skaistumkaraliene,,,,,,,,,,,
Izcelsme,People_by_origin,aFR,,,,,,,2,3,,,,,
Izcelsme,People_by_origin,mFE,Core,Izcelsme,Origin,,,str v EID,,,,,,,
Izcelsme,People_by_origin,mFE,Core,Persona,Person,Person,OntologicalType,EID,,,,,,,
Izcelsme,People_by_origin,mFE,Peripheral,Tautība,Ethnicity,,,str v EID,,,,,,,
Izcelsme,People_by_origin,uLU,N,pilsonis,,,,,,,,,,,
Izcelsme,People_by_origin,uLU,N,latvietis,,,,,,,,,,,
Izcelsme,People_by_origin,uLU,N,krievs,,,,,,,,,,,
Amats,Being_employed,aFR,,,,,,,3,9,,,,,
Amats,Being_employed,mFE,Core,Darbinieks,Employee,Person,OntologicalType,EID,,,,,,,
Amats,Being_employed,mFE,Core,Darbavieta,Employer,Organization,OntologicalType,EID,,,,,,,
Amats,Being_employed,mFE,Core,Amats,Position,,,str v EID,,,,,,,
Amats,Being_employed,mFE,Peripheral,Alga,Compensation,,,int vai EID,,,,,,,
Amats,Being_employed,mFE,Peripheral,Vieta,Place_of_employment,Location,OntologicalType,str v EID,,,,,,,
Amats,Being_employed,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Amats,Being_employed,mFE,Peripheral,Statuss,Manner,,,str v EID,,,,,,,"Bijušais, līdzšinējais, agrākais, utml"
Amats,Being_employed,mFE,Extra-Thematic,Sākums,Employment_start,Time,OntologicalType,4y2m2d v EID,,,,,,,Nav FN šādā veidā
Amats,Being_employed,mFE,Extra-Thematic,Beigas,Employment_end,Time,OntologicalType,4y2m2d v EID,,,,,,,Nav FN šādā veidā
Amats,Being_employed,uLU,N,priekšsēdētājs,,,,,,,,,,,
Amats,Being_employed,uLU,N,direktors,,,,,,,,,,,
Amats,Being_employed,uLU,N,prezidents,,,,,,,,,,,
Amats,Being_employed,uLU,N,grāmatvedis,,,,,,,,,,,
Amats,Being_employed,uLU,N,vadītājs,,,,,,,,,,,
Darba_sākums,Hiring,aFR,,,,,,,3,8,,,,,arī Employment_start
Darba_sākums,Hiring,bFREL,,,,,,,,,,Subframe,Amats,,
Darba_sākums,Hiring,mFE,Core,Darbinieks,Employee,Person,OntologicalType,EID,,,,,,,
Darba_sākums,Hiring,mFE,Core,Darbavieta,Employer,Organization,OntologicalType,EID,,,,,,,
Darba_sākums,Hiring,mFE,Core,Amats,Position,,,str v EID,,,,,,,
Darba_sākums,Hiring,mFE,Peripheral,Darba devējs,Appointer,,,str v EID,,,,,,,"Tas, kas ieceļ amatā – saeima, direktors, akcionāri, utml. Nav FN šādā veidā"
Darba_sākums,Hiring,mFE,Peripheral,Veids,Manner,,,str v EID,,,,,,,
Darba_sākums,Hiring,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Darba_sākums,Hiring,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Darba_sākums,Hiring,mFE,Peripheral,Iepriekšējais_darbinieks,Previous_employee,Person,OntologicalType,EID,,,,,,,Kas iepriekš ieņem to pašu amatu
Darba_sākums,Hiring,uLU,V,kļūt,,,,,,,,,,,
Darba_sākums,Hiring,uLU,V,iecelt,,,,,,,,,,,
Darba_beigas,Employment_end,aFR,,,,,,,3,8,,,,,Arī Firing
Darba_beigas,Employment_end,bFREL,,,,,,,,,,Subframe,Amats,,
Darba_beigas,Employment_end,mFE,Core,Darbinieks,Employee,Person,OntologicalType,EID,,,,,,,
Darba_beigas,Employment_end,mFE,Core,Darbavieta,Employer,Organization,OntologicalType,EID,,,,,,,
Darba_beigas,Employment_end,mFE,Core,Amats,Position,,,str v EID,,,,,,,
Darba_beigas,Employment_end,mFE,Peripheral,Darba devējs,Appointer,,,str v EID,,,,,,,"Tas, kas ieceļ amatā – saeima, direktors, akcionāri, utml. Nav FN šādā veidā"
Darba_beigas,Employment_end,mFE,Peripheral,Veids,Manner,,,str v EID,,,,,,,
Darba_beigas,Employment_end,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Darba_beigas,Employment_end,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Darba_beigas,Employment_end,mFE,Peripheral,Nākamais_darbinieks,Future_employee,Person,OntologicalType,EID,,,,,,,Kas turpmāk ieņem to pašu amatu
Darba_beigas,Employment_end,uLU,V,atlaist,,,,,,,,,,,
Darba_beigas,Employment_end,uLU,V,atstāt,,,,,,,,,,,
Darba_beigas,Employment_end,uLU,V,pamest,,,,,,,,,,,
Dalība,Membership,aFR,,,,,,,2,4,,,,,Biedrs kādā organizācijā
Dalība,Membership,mFE,Core,Biedrs,Member,Person,OntologicalType,EID,,,,,,,
Dalība,Membership,mFE,Core,Organizācija,Group,Organization,OntologicalType,EID,,,,,,,
Dalība,Membership,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Dalība,Membership,mFE,Peripheral,Statuss,Standing,,,str v EID,,,,,,,
Dalība,Membership,uLU,N,biedrs,,,,,,,,,,,
Dalība,Membership,uLU,V,iestāties,,,,,,,,,,,
Dalība,Membership,uLU,V,izstāties,,,,,,,,,,,
Vēlēšanas,Change_of_leadership,aFR,,,,,,,3,7,,,,,"FN ir šaurāks - tur ir tikai vēlētie amati, nevis arī deputāti"
Vēlēšanas,Change_of_leadership,mFE,Core,Dalībnieks,Candidate,PersonOrOrganization,OntologicalType,EID,,,,,,,
Vēlēšanas,Change_of_leadership,mFE,Core,Vēlēšanas,Body,,,str v EID,,,,,,,"pats notikums vai organizācija (Saeima, pašvaldība, dome) kurā ievēl"
Vēlēšanas,Change_of_leadership,mFE,Core,Amats,Role,,,str v EID,,,,,,,
Vēlēšanas,Change_of_leadership,mFE,Extra-Thematic,Uzvarētājs,New_leader,,,str v EID,,,,,,,
Vēlēšanas,Change_of_leadership,mFE,Extra-Thematic,Rezultāts,Result,,,str v EID,,,,,,,
Vēlēšanas,Change_of_leadership,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Vēlēšanas,Change_of_leadership,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Vēlēšanas,Change_of_leadership,uLU,N,vēlēšanas,,,,,,,,,,,
Vēlēšanas,Change_of_leadership,uLU,V,kandidēt,,,,,,,,,,,
Vēlēšanas,Change_of_leadership,uLU,V,ievēlēt,,,,,,,,,,,
Atbalsts,Giving,aFR,,,,,,,3,4,,,,,Ziedojumi u.c. FN ir šaurāka nozīme nekā mums
Atbalsts,Giving,mFE,Core,Atbalstītājs,Donor,PersonOrOrganization,OntologicalType,EID,,,,,,,
Atbalsts,Giving,mFE,Core,Saņēmējs,Recipient,Organization,OntologicalType,EID,,,,,,,
Atbalsts,Giving,mFE,Core,Tēma,Theme,,,str v EID,,,,,,,Pats atbalsts – nauda vai kas cits
Atbalsts,Giving,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Atbalsts,Giving,uLU,N,sponsors,,,,,,,,,,,
Atbalsts,Giving,uLU,N,ziedotājs,,,,,,,,,,,
Atbalsts,Giving,uLU,N,atbalstītājs,,,,,,,,,,,
Atbalsts,Giving,uLU,N,dāvana,,,,,,,,,,,
Atbalsts,Giving,uLU,N,ziedojums,,,,,,,,,,,
Atbalsts,Giving,uLU,V,ziedotājs,,,,,,,,,,,
Atbalsts,Giving,uLU,V,atbalstīt,,,,,,,,,,,
Atbalsts,Giving,uLU,V,dāvināt,,,,,,,,,,,
Dibināšana,Intentionally_create,aFR,,,,,,,2,6,,,,,
Dibināšana,Intentionally_create,mFE,Core,Organizācija,Created_entity,Organization,OntologicalType,EID,,,,,,,
Dibināšana,Intentionally_create,mFE,Core,Dibinātājs,Creator,PersonOrOrganization,OntologicalType,EID,,,,,,,
Dibināšana,Intentionally_create,mFE,Peripheral,Veids,Manner,,,str v EID,,,,,,,
Dibināšana,Intentionally_create,mFE,Peripheral,Nozare,Industry,,,str v EID,,,,,,,Nav FN - varbūt jāņem ārā - jāpārbauda pēc reālajiem datiem
Dibināšana,Intentionally_create,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Dibināšana,Intentionally_create,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Dibināšana,Intentionally_create,uLU,V,dibināt,,,,,,,,,,,
Dibināšana,Intentionally_create,uLU,V,izveidot,,,,,,,,,,,
Piedalīšanās,Participation,aFR,,,,,,,2,6,,,,,
Piedalīšanās,Participation,mFE,Core,Dalībnieks,Participant_1,PersonOrOrganization,OntologicalType,EID,,,,,,,
Piedalīšanās,Participation,mFE,Core,Notikums,Event,Event,OntologicalType,str v EID,,,,,,,"Varbūt alternatīvi – dalība lielākā organizācijā, kā FN?"
Piedalīšanās,Participation,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Piedalīšanās,Participation,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Piedalīšanās,Participation,mFE,Peripheral,Veids,Manner,,,str v EID,,,,,,,
Piedalīšanās,Participation,mFE,Extra-Thematic,Organizētājs,Insititution,PersonOrOrganization,OntologicalType,EID,,,,,,,
Piedalīšanās,Participation,uLU,N,dalībnieks,,,,,,,,,,,
Piedalīšanās,Participation,uLU,N,žūrija,,,,,,,,,,,
Piedalīšanās,Participation,uLU,V,piedalīties,,,,,,,,,,,
Piedalīšanās,Participation,uLU,V,strādāt,,,,,,,,,,,
Finanses,Earnings_and_losses,aFR,,,,,,,2,7,,,,,FN ir šaurāk nekā mums
Finanses,Earnings_and_losses,mFE,Core,Organizācija,Earner,PersonOrOrganization,OntologicalType,EID,,,,,,,
Finanses,Earnings_and_losses,mFE,Core,Ienākumi,Earnings,,,int vai EID,,,,,,,arī apgrozījums
Finanses,Earnings_and_losses,mFE,Extra-Thematic,Avots,Goods,,,str v EID,,,,,,,"FN ir mazliet šaurāk - bet tas ir tipiskais avots, ""nopelnīja xx no naftas"" vai ""nopelnīja xx ar pakalpojumiem"""
Finanses,Earnings_and_losses,mFE,Peripheral,Peļņa,Profit,,,int vai EID,,,,,,,vai zaudējumi. Nav FN
Finanses,Earnings_and_losses,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Finanses,Earnings_and_losses,mFE,Peripheral,Vienības,Unit,,,str v EID,,,,,,,
Finanses,Earnings_and_losses,mFE,Peripheral,Pieaugums,Growth,,,int vai EID,,,,,,,Nav FN
Finanses,Earnings_and_losses,uLU,N,peļņa,,,,,,,,,,,
Finanses,Earnings_and_losses,uLU,N,apgrozījums,,,,,,,,,,,
Finanses,Earnings_and_losses,uLU,N,ienākumi,,,,,,,,,,,
Finanses,Earnings_and_losses,uLU,N,zaudējumi,,,,,,,,,,,
Finanses,Earnings_and_losses,uLU,N,alga,,,,,,,,,,,
Finanses,Earnings_and_losses,uLU,V,nopelnīt,,,,,,,,,,,
Īpašums,Possession,aFR,,,,,,,2,4,,,,,
Īpašums,Possession,mFE,Core,Īpašnieks,Owner,PersonOrOrganization,OntologicalType,EID,,,,,,,
Īpašums,Possession,mFE,Core,Īpašums,Possession,,,str v EID,,,,,,,
Īpašums,Possession,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Īpašums,Possession,mFE,Peripheral,Daļa,Share,Number,OntologicalType,int vai EID,,,,,,,Nav FN
Īpašums,Possession,uLU,N,Īpašnieks,,,,,,,,,,,
Īpašums,Possession,uLU,N,kapitāldaļa,,,,,,,,,,,
Īpašums,Possession,uLU,N,akcija,,,,,,,,,,,
Īpašums,Possession,uLU,N,piederēt,,,,,,,,,,,
Parāds,Lending,aFR,,,,,,,3,6,,,,,FN ir simetriski pretējā puse
Parāds,Lending,mFE,Core,Parādnieks,Borrower,PersonOrOrganization,OntologicalType,EID,,,,,,,
Parāds,Lending,mFE,Core,Aizdevējs,Lender,PersonOrOrganization,OntologicalType,EID,,,,,,,
Parāds,Lending,mFE,Core,Aizdevums,Theme,,,int vai EID,,,???,,,,
Parāds,Lending,mFE,Peripheral,Ķīla,Collateral,,,str v EID,,,,,,,Nav FN
Parāds,Lending,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Parāds,Lending,mFE,Peripheral,Vienības,Units,,,str v EID,,,,,,,Nav FN
Parāds,Lending,uLU,N,kredīts,,,,,,,,,,,
Parāds,Lending,uLU,N,parāds,,,,,,,,,,,
Parāds,Lending,uLU,V,aizdot,,,,,,,,,,,
Parāds,Lending,uLU,V,aizņemties,,,,,,,,,,,
Tiesvedība,Trial,aFR,,,,,,,3,8,,,,,"FN scenārijs ir par krimināllietām, nevis strīdiem"
Tiesvedība,Trial,mFE,Core,Apsūdzētais,Defendant,PersonOrOrganization,OntologicalType,EID,,,,,,,
Tiesvedība,Trial,mFE,Core,Apsūdzība,Charges,,,str v EID,,,,,,,
Tiesvedība,Trial,mFE,Core,Tiesa,Court,Organization,OntologicalType,EID,,,,,,,
Tiesvedība,Trial,mFE,Peripheral,Prasītājs,Prosecutor,PersonOrOrganization,OntologicalType,EID,,,,,,,vai prokurors krimināllietās; FN nav prasītāja loma
Tiesvedība,Trial,mFE,Peripheral,Advokāts,Lawyer,Person,OntologicalType,EID,,,,,,,
Tiesvedība,Trial,mFE,Peripheral,Tiesnesis,Judge,Person,OntologicalType,EID,,,,,,,
Tiesvedība,Trial,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Tiesvedība,Trial,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Tiesvedība,Trial,uLU,N,tiesa,,,,,,,,,,,
Tiesvedība,Trial,uLU,N,prāva,,,,,,,,,,,
Tiesvedība,Trial,uLU,N,process,,,,,,,,,,,
